Lig	Rec	LigRec	pathway	evidence
TGFB1	TGFBR1	TGFB1_TGFBR1	TGFb	KEGG: hsa04350;PMID: 29376829;uniprot;12809600;12809600,82
TGFB1	TGFBR2	TGFB1_TGFBR2	TGFb	KEGG: hsa04350;PMID: 27449815;uniprot;10716993;12809600,10716993,7935686
TGFB2	TGFBR1	TGFB2_TGFBR1	TGFb	KEGG: hsa04350;PMID: 29376829;uniprot;12809600;12809600,11
TGFB2	TGFBR2	TGFB2_TGFBR2	TGFb	KEGG: hsa04350;PMID: 27449815;uniprot;11157754;12809600,8106553,11157754
TGFB3	TGFBR1	TGFB3_TGFBR1	TGFb	KEGG: hsa04350;PMID: 29376829;uniprot;11850637;11850637,12060054,12607775
TGFB3	TGFBR2	TGFB3_TGFBR2	TGFb	KEGG: hsa04350;PMID: 27449815;uniprot;11850637;11850637,11382746,12729750,8106553
TGFB1	ACVR1B	TGFB1_ACVR1B	TGFb	PMID: 27449815
TGFB1	ACVR1C	TGFB1_ACVR1C	TGFb	PMID: 27449815
TGFB2	ACVR1B	TGFB2_ACVR1B	TGFb	PMID: 27449815
TGFB2	ACVR1C	TGFB2_ACVR1C	TGFb	PMID: 27449815
TGFB3	ACVR1B	TGFB3_ACVR1B	TGFb	PMID: 27449815
TGFB3	ACVR1C	TGFB3_ACVR1C	TGFb	PMID: 27449815
TGFB1	ACVR1	TGFB1_ACVR1	TGFb	PMID: 29376829;uniprot
TGFB2	ACVR1	TGFB2_ACVR1	TGFb	PMID: 29376829;uniprot;32196115;
TGFB3	ACVR1	TGFB3_ACVR1	TGFb	PMID: 29376829;uniprot
BMP2	BMPR1A	BMP2_BMPR1A	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174;15621726;12700180,11263668,10881198,10692589,15064755
BMP2	ACVR2A	BMP2_ACVR2A	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174;21702718
BMP2	ACVR2B	BMP2_ACVR2B	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174;20385559;15064755
BMP2	BMPR2	BMP2_BMPR2	BMP	KEGG: hsa04350; PMID:26893264;PMID: 22710174;11263668,15621726;11263668,11
