aEndo	aSMC	capEndo	Ependymal	Fib1	Fib2	Fib3	Per1	Per2	vEndo	vSMC
CEACAM19	0.313381854429552	0	0	0	0	0	0	0	0	0	0
FBXL13	-0.399472800143521	0	0	0	0	0	0	0	0	0	0
HHAT	-0.147887437762754	0	0	0	0	0	0	0	0	0	0
IL6	-0.0382053662776749	0	0.03948336678665	0	0	0	0	0	0	0	0
LIPG	0.109668768997902	0	0	0	0	0	0	0	0	0	0
NAPEPLD	0.0292935201057889	0	0	0	0	0	0	0	0	0	0
SAP30L	-0.431511808871817	0	0	0	0	0	0.545304269639389	0	0	0	0
SPSB1	0.0412845535010012	0	0	0	0	0	0	0	0	0.117319063614506	0
ARIH1	0	-0.287221016868262	0	0	0	0	-0.191835267841271	0	0	0	0
CCDC171	0	-0.64142891716693	0	0	0	0	0	-0.0238973459747573	0	0	0
CCDC85A	0	0.551494480386645	0	0	0	-0.216111179423957	0	0	0	0	0
CDC42EP3	0	-0.167192498157024	0.0801667032376643	0	0	0	0	0	0	0	0
FAM214A	0	-0.333362528265942	0	0	0	0	0	0	0	0	0
NR3C2	0	-0.142152792705818	0	0	0	0	0	0	0	0	0
PFDN1	0	0.0504579839420245	0	0	0	0	0	0	0	0	0
PPP4R3A	0	-0.052983612160888	0	0	0	0	0	0	0	0	0
R3HDM1	0	0.327267667372404	0	0	0	0	0	0	0	0	0
SUCLA2	0	0.268048196516096	0	0	0	0	0	0	0	0	0
TLN2	0	0.0249668924606923	0	0	0	0	0	0	0	0	0
ABCB1	0	0	-0.157822004226924	0	0	0	0	0	0	0	0
ADAMTS1	0	0	0.0759592673699523	0	0	0	0	0	0	0	0
BCAS3	0	0	-0.099734330456398	0	0	0	0	0	0	0	0
CRADD	0	0	-0.0410729890524619	0	0	0	0	0	0	0	0
CTNNA2	0	0	-0.135684765574885	0	0	0	-0.0742759753704331	0	0	0	0
DACH1	0	0	-0.0721942612341505	0	0	0	0	0	0	0	0
DOCK4	0	0	0.141758061149764	0	0	0	0	0	0	0.153179555976277	0
DYSF	0	0	0.0317887332667294	0	0	0	0	0	0	0	0
FBXL7	0	0	-0.100699313736051	0	0	0	0	0	0	0	0
HLA-DRB1	0	0	0.0229577025912057	0	0	0	0	0	0	0.0632767077649885	0
IGFBP2	0	0	-0.0329636748857935	0	0	0	0	0	0	0	0
IL6R	0	0	0.0382698309119587	0	0	0	0	0	0	0	0
INPP5D	0	0	0.0774475037421003	0	0	0	0	0	0	0	0
LIMS2	0	0	-0.0552905960444935	0	0	0	0	0	0	0	0
MAPK7	0	0	0.0487181070097078	0	0	0	0	0	0	0	0
MTHFD1L	0	0	0.102825442945239	0	0	0	0	0	0	0	0
MYRIP	0	0	-0.156580628193787	0	0	0	0	0	0	0	0
NRXN3	0	0	-0.0679303765048435	0	0	0	0	0	0	-0.146766966021902	0
PARVB	0	0	0.0868504283876887	0	0	0	0	0	0	0	0
PLEKHG1	0	0	0.127976760291444	0	0	0	0	0	0	0	0
PTPRG	0	0	-0.105437973074543	0	0.112176464712062	0	0	-0.100110811505534	-0.159712408938511	0	0
RAPGEF5	0	0	0.265605634293669	0	0.0913989588538604	0	0	0	0	0.34417879155985	0
RORA	0	0	-0.142148332632363	0	0	-0.14810106043818	0	-0.184917793444169	0	-0.156734730253229	0
SCARB1	0	0	0.116630958173874	0	0	0	0	0	0.155058241169274	0	0
ST6GAL1	0	0	-0.0879552921208144	0	0	0	0	0	0	0	0
STEAP1B	0	0	0.0302607304957752	0	0	0	0	0	0	0	0
TBXAS1	0	0	0.0243862687269824	0	0	0	0	0	0	0	0
THSD7A	0	0	-0.0290809074543347	0	0	0	0	0	0	0	0
TNRC6A	0	0	-0.0764812993945578	0	0	0	0	0	0	0	0
TNXB	0	0	0.0627672938591388	0	0	0	0	0	0	0.0755865443153331	0
PDE4D	0	0	0	0.334128901773652	0.133523886459835	0	0	0	0	0	0
PDE7B	0	0	0	0.253059758537676	0	0	0	0.094791661009908	0	0	0
PKNOX2	0	0	0	-0.175511562762497	0	0	0	0	0	0	0
PLCG2	0	0	0	0.418486216045929	0.217054711366359	0.298147862616628	0.942354629083126	0	0.111198943569116	0	0
RIMBP2	0	0	0	0.410969399249955	0	0	0	0	0	0	0
VSNL1	0	0	0	-0.468413951121804	0	0	0	0	0	0	0
BCL3	0	0	0	0	0.0593851303872472	0	0	0	0	0	0
CELF2	0	0	0	0	0.111643291878899	0	0	0	0	0	0
CSTF1	0	0	0	0	-0.044331274879588	0	0	0	0	0	0
DIP2C	0	0	0	0	-0.0911976478597218	0	0	-0.0827675083452211	0	0	0
FGF10	0	0	0	0	0.0412651102438381	0	0	0	0	0	-0.113886512548441
KCNQ3	0	0	0	0	0.101718850662924	0	-1.35609242243656	0	0	0	0
NAALADL2	0	0	0	0	-0.0784681954087055	0	0	-0.036492796576249	0	-0.0540154934342176	0
NDUFAF6	0	0	0	0	-0.0473668083500556	0	0	0	0	0	0
NEGR1	0	0	0	0	0.0971155053366682	0	0	0	0	0	0
SEM1	0	0	0	0	0.0600219914517138	0.174725327957288	0	0	0	0	0
SPON1	0	0	0	0	0.257924352491851	0	0	0	0	0	0
BCKDK	0	0	0	0	0	-0.0701535516966267	0	0	0	0	0
COL27A1	0	0	0	0	0	0.020517357654826	0	0	0.202690624617013	0	0
EPC2	0	0	0	0	0	0.140471468115114	0	0	0	0	0
MSH2	0	0	0	0	0	-0.0480830146610416	0	0	0	0	0
OSBPL6	0	0	0	0	0	-0.0779692315265334	0	0	0	0	0
PCDH9	0	0	0	0	0	-0.128535263811291	0	0	0	0	0
SH3RF1	0	0	0	0	0	0.0504197097061182	0	0	0	0	0
SLC9A9	0	0	0	0	0	-0.0200603537991638	0	0	0	-0.0867079882641519	0
STK11	0	0	0	0	0	0.188891026848799	0	0	0	0	0
TIAM2	0	0	0	0	0	0.167874644913437	0	0	0	0	0
ZFP3	0	0	0	0	0	0.0601747181455918	0	0	0	0	0
ABCA1	0	0	0	0	0	0	-0.287930362022853	0.102314691420571	0	0	0
ANO3	0	0	0	0	0	0	0.03173498294401	-0.0531622489125914	0	0	-0.111734222093207
ARHGAP20	0	0	0	0	0	0	-0.0345937482829209	0	0	0	0
ATP8A2	0	0	0	0	0	0	-0.794013605287238	0	0	0	0
CACNA2D3	0	0	0	0	0	0	-0.57234834916407	0	0	0	0
CDH13	0	0	0	0	0	0	0.527402524516679	0	0	0	0
CLASRP	0	0	0	0	0	0	-0.022926541942219	0	0	0	0
CSMD1	0	0	0	0	0	0	0.151191278290078	0	0	0	0
ETS1	0	0	0	0	0	0	0.495179156359095	0	0	0	0
MICAL2	0	0	0	0	0	0	-0.912898884203558	0	0	0	0
MRPL58	0	0	0	0	0	0	0.3821400695601	0	0	0	0
RBM19	0	0	0	0	0	0	0.118596566396505	0	0	0	0
TMCO4	0	0	0	0	0	0	-0.600112357217927	0	0	0	0
TXNL1	0	0	0	0	0	0	0.0533633757008485	0	0	0	0
UNC5D	0	0	0	0	0	0	-0.70177749123176	0	0	0	0
ASIP	0	0	0	0	0	0	0	-0.263632471764142	0	0	0
CDHR3	0	0	0	0	0	0	0	-0.0257452547913829	0	0	0
COL18A1	0	0	0	0	0	0	0	0.146216571073554	0	0	0
DISC1	0	0	0	0	0	0	0	0.131260563088166	0.214713662159287	0	0
PICALM	0	0	0	0	0	0	0	0.0808213402819646	0	0	0
PRKG1	0	0	0	0	0	0	0	0.0471208917768746	0	0	0
RASSF8	0	0	0	0	0	0	0	0.105563730900327	0	0	0
SLC14A2	0	0	0	0	0	0	0	0.15545554630445	0	0	-0.0304893841472637
SYNJ1	0	0	0	0	0	0	0	0.0408993315243507	0	0	0
TNRC6C	0	0	0	0	0	0	0	-0.0268440253972457	0	0	0
WDR41	0	0	0	0	0	0	0	0.106407483063018	0.117517798632497	0	0
ADAMTS4	0	0	0	0	0	0	0	0	-0.0331492409657892	0	0
BCAM	0	0	0	0	0	0	0	0	0.112915729259498	0	0
COL4A4	0	0	0	0	0	0	0	0	-0.179904989287865	0	0
DST	0	0	0	0	0	0	0	0	-0.0960766352303627	0	0
LINGO2	0	0	0	0	0	0	0	0	-0.0289214997449082	0	0
PDE1A	0	0	0	0	0	0	0	0	-0.0579826672031312	0	0
ALDH1A2	0	0	0	0	0	0	0	0	0	-0.0919887514682314	0
CDKAL1	0	0	0	0	0	0	0	0	0	-0.115716747077329	0
CLMN	0	0	0	0	0	0	0	0	0	0.116088231175528	0
CTIF	0	0	0	0	0	0	0	0	0	0.0497942543266838	0
FUT8	0	0	0	0	0	0	0	0	0	-0.0957020746973852	0
LUZP2	0	0	0	0	0	0	0	0	0	-0.389442054969749	0
PLIN2	0	0	0	0	0	0	0	0	0	0.194975434633796	0
SQSTM1	0	0	0	0	0	0	0	0	0	0.121624192063349	0
BMPER	0	0	0	0	0	0	0	0	0	0	0.214675051163967
DIRAS2	0	0	0	0	0	0	0	0	0	0	-0.0670531541586274
EPHX2	0	0	0	0	0	0	0	0	0	0	-0.280188562509115
NCKAP5	0	0	0	0	0	0	0	0	0	0	-0.0644938334542176
NRXN1	0	0	0	0	0	0	0	0	0	0	0.0313762544787634
PRTG	0	0	0	0	0	0	0	0	0	0	-0.281879198011547
SLC44A5	0	0	0	0	0	0	0	0	0	0	-0.664550125644448
SORL1	0	0	0	0	0	0	0	0	0	0	-0.0497026161748167
